@relation 'DS - 2011-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-do-not-check-capabilities-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-P-do-not-check-capabilities-weka.filters.unsupervised.attribute.Remove-R41,43,45,49,51,53-55,59-60,62,65,75-76,81,85-86-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C29-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C30-Llast-weka.filters.unsupervised.attribute.Remove-R29-69-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute '\%NoCar&LowStoreAccess' numeric
@attribute GroceryStore/1000pop numeric
@attribute SuperCenter&ClubStore/1000pop numeric
@attribute FastFoodRestaurant/1000pop numeric
@attribute FullServiceRestaurant/1000pop numeric
@attribute Fruit&Veg-Lbs/Household numeric
@attribute SweetSnacks-Lbs/Household numeric
@attribute Soda-Gals/Household numeric
@attribute Meat&Poultry-Lbs/Household numeric
@attribute SolidFats-Lbs/Household numeric
@attribute PreparedFood-Lbs/Household numeric
@attribute 'FoodInsecurity(-1,0,1)' numeric
@attribute DiabetesAdultRate numeric
@attribute ObesityAdultRate numeric
@attribute '\%AdultPhysicalActivity' numeric
@attribute MedianHouseHoldIncome numeric
@attribute PovertyRate numeric
@attribute '\%WhitePop' numeric
@attribute '\%BlackPop' numeric
@attribute '\%HispanicPop' numeric
@attribute '\%AsianPop' numeric
@attribute '\%LowIncome&LowStoreAccess' numeric
@attribute FastFoodExpendituresPerCapita numeric
@attribute RestaurantExpendituresPerCapita numeric
@attribute '\%LocalFarmsSales' numeric
@attribute '\%HighschoolersPhysicalActivity' numeric
@attribute Recreation&FitnessFacilities numeric
@attribute STATE_NUM numeric

@data
0.032787,0.195668,0,0.310473,0.22641,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.603306,0.699552,0.47907,0.286088,0.528409,0.930233,0.032828,0.082353,0.206897,0.073192,0.324212,0.135632,0.098291,0.590674,0.116284,4
0.186885,0.100093,0,0.29779,0.231639,0.011494,0,0.459459,0.558824,0,0,1,0.644628,0.515695,0.47907,0.168282,0.363636,0.960832,0.017677,0.039216,0.068966,0.240364,0.324212,0.135632,0.089744,0.590674,0,4
0.019672,0.183484,0.313392,0.567723,0.547292,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.545455,0.439462,0.47907,0.2835,0.894886,0.828641,0.204545,0.14902,0.206897,0.023387,0.324212,0.135632,0.290598,0.590674,0.196277,4
0.308197,0.269713,0,0.401216,0.182052,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.479339,0.67713,0.47907,0.391028,0.400568,0.922889,0.093434,0.066667,0.103448,0.204851,0.324212,0.135632,0.367521,0.590674,0.120216,4
0.091803,0.146444,0.375192,0.418263,0.293718,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.495868,0.600897,0.47907,0.268405,0.392045,0.953488,0.022727,0.062745,0.068966,0.114768,0.324212,0.135632,0.098291,0.590674,0.052218,4
0.321311,0.355971,0.65143,0.423624,0.235371,0.011494,0,0.459459,0.558824,0,0,1,0.77686,0.721973,0.47907,0.226327,0.167614,0.471236,0.714646,0.533333,0.068966,0.239065,0.324212,0.135632,0.064103,0.590674,0.090664,4
0.213115,0.222305,0,0.330692,0.185778,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.586777,0.681614,0.47907,0.277465,0.497159,0.818849,0.282828,0.086275,0.068966,0.28757,0.324212,0.135632,0.264957,0.590674,0.132113,4
0.160656,0.23939,0.438087,0.488378,0.263811,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.53719,0.524664,0.47907,0.253386,0.463068,0.910649,0.060606,0.109804,0.344828,0.194023,0.324212,0.135632,0.094017,0.590674,0.060972,4
0.091803,0.362336,0,0.1078,0.244571,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.512397,0.439462,0.47907,0.176965,0.454545,0.946144,0.04798,0.05098,0.034483,0.111304,0.324212,0.135632,0.055556,0.590674,0.322999,4
0.07541,0.415658,0,0.206106,0.347363,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.644628,0.623318,0.47907,0.170178,0.465909,0.730722,0.494949,0.066667,0.068966,0.0589,0.324212,0.135632,0.07265,0.590674,0.123511,4
0.144262,0.095278,0.610259,0.453543,0.165371,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.520661,0.600897,0.47907,0.227622,0.329545,0.828641,0.037879,0.435294,0.137931,0.14162,0.324212,0.135632,0.128205,0.590674,0.084934,4
0.793443,0.559862,0,0.291491,0.188949,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.628099,0.663677,0.47907,0.180261,0.673295,0.96328,0.025253,0.039216,0.034483,0.641836,0.324212,0.135632,0.059829,0.590674,0,4
0.347541,0.086192,0,0.205146,0.299202,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.561983,0.73991,0.47907,0.235342,0.198864,0.572827,0.815657,0.078431,0.034483,0.278909,0.324212,0.135632,0.076923,0.590674,0,4
0.006557,0.274789,0,0.27251,0.282633,0.011494,0,0.459459,0.558824,0,0,1,0.68595,0.70852,0.47907,0.237991,0.349432,0.684211,0.522727,0.086275,0.068966,0.008662,0.324212,0.135632,0.136752,0.590674,0,4
0.104918,0.208266,0,0.402752,0.200823,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.495868,0.497758,0.47907,0.268661,0.181818,0.921665,0.037879,0.090196,0.37931,0.119099,0.324212,0.135632,0.166667,0.590674,0,4
0.052459,0.167088,0.237823,0.397686,0.214822,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.603306,0.67713,0.47907,0.452369,0.491477,0.862913,0.179293,0.105882,0.172414,0.032049,0.324212,0.135632,0.175214,0.590674,0.066199,4
0.609836,0.227906,0,0.180813,0.263713,0.011494,0,0.459459,0.558824,0,0,1,0.512397,0.529148,0.47907,0.211278,0.230114,0.909425,0.015152,0.188235,0.068966,0.568211,0.324212,0.135632,0.128205,0.590674,0,4
0.183607,0.28428,0,0.338307,0.301532,0.011494,0,0.459459,0.558824,0,0,1,0.677686,0.578475,0.47907,0.202655,0.286932,0.959608,0.012626,0.05098,0.068966,0.161542,0.324212,0.135632,0.273504,0.590674,0,4
0.22623,0.275145,0.352463,0.425668,0.233474,0.011494,0,0.459459,0.558824,0,0,1,0.842975,0.843049,0.47907,0.286088,0.170455,0.660955,0.59596,0.086275,0.172414,0.22434,0.324212,0.135632,0.209402,0.590674,0.049055,4
0.078689,0.354551,0.324415,0.542486,0.175824,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.743802,0.780269,0.47907,0.226177,0.573864,0.532436,0.853535,0.117647,0.172414,0.07016,0.324212,0.135632,0.047009,0.590674,0.090303,4
0.468852,0.551074,0,0.57383,0.26569,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.801653,0.663677,0.47907,0.118318,0.125,0.493268,0.962121,0.078431,0.068966,0.252057,0.324212,0.135632,0.025641,0.590674,0.245623,4
0.531148,0.260344,0,0.154911,0.25104,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.603306,0.466368,0.47907,0.228163,0.53125,0.910649,0.017677,0.164706,0.137931,0.386314,0.324212,0.135632,0.166667,0.590674,0,4
0.796721,0.253006,0,0.30109,0.146378,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.793388,0.627803,0.47907,0.184355,0.383523,0.560588,0.820707,0.105882,0.034483,0.436553,0.324212,0.135632,0.08547,0.590674,0,4
0.668852,0.362879,0,0.377864,0.174955,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.809917,0.726457,0.47907,0.22857,0.514205,0.49082,0.994949,0.043137,0.137931,0.419229,0.324212,0.135632,0.333333,0.590674,0.242612,4
0.291803,0.113916,0,0.135566,0.043938,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.528926,0.520179,0.47907,0.277104,0.232955,0.933905,0.063131,0.058824,0.034483,0.248592,0.324212,0.135632,0.149573,0.590674,0,4
0.485246,0.545068,0,0.129732,0.252282,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.61157,0.524664,0.47907,0.276351,0.411932,0.872705,0.098485,0.203922,0.068966,0.426159,0.324212,0.135632,0.008547,0.590674,0,4
0.193443,0.379535,0,0.479895,0.274478,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.68595,0.753363,0.47907,0.185544,0.411932,0.872705,0.191919,0.082353,0.034483,0.142919,0.324212,0.135632,0.017094,0.590674,0.084583,6
0.829508,0.410329,0.750906,0.313915,0.339141,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.586777,0.654709,0.47907,0.177763,0.491477,0.899633,0.017677,0.180392,0.068966,0.750541,0.324212,0.135632,0.136752,0.590674,0.209018,6
0.036066,0.15953,0,0.628873,0.2692,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.495868,0.618834,0.47907,0.324254,0.338068,0.877601,0.080808,0.188235,0.275862,0.055002,0.324212,0.135632,0.128205,0.590674,0.106658,6
0.055738,0.40177,0,0.398439,0.309929,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.619835,0.58296,0.47907,0.233581,0.420455,0.801714,0.361111,0.05098,0.068966,0.086184,0.324212,0.135632,0.051282,0.590674,0.238768,6
0.003279,0.229789,0.161294,0.588129,0.371521,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.528926,0.493274,0.47907,0.39178,0.105114,0.492044,0.856061,0.168627,0.62069,0.001299,0.324212,0.135632,0.435897,0.590674,0.213261,6
0.472131,0.261729,0.838193,0.350406,0.252376,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.644628,0.58296,0.47907,0.170449,0.286932,0.953488,0.030303,0.058824,0.068966,0.525769,0.324212,0.135632,0.042735,0.590674,0.233315,6
0.006557,0.173241,0.317032,0.294522,0.224323,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.495868,0.55157,0.47907,0.465793,0.514205,0.893513,0.121212,0.094118,0.241379,0.006496,0.324212,0.135632,0.367521,0.590674,0.220618,6
0.219672,0.313547,0,0.310948,0.282185,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.603306,0.623318,0.47907,0.214845,0.397727,0.823745,0.020202,0.337255,0.931034,0.33521,0.324212,0.135632,0.111111,0.590674,0,12
0.714754,0.293121,0,0.261622,0.226117,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.735537,0.573991,0.47907,0.095789,0.176136,0.959608,0.010101,0.05098,0.034483,0.829363,0.324212,0.135632,0.055556,0.590674,0,12
0.085246,0.266186,0.852464,0.593952,0.616014,0.333333,0.342857,0.594595,0.632353,0.25,0.388889,1,0.628099,0.421525,0.47907,0.189908,0.164773,0.95104,0.035354,0.043137,0.068966,0.125162,0.324212,0.135632,0.145299,0.590674,0.237287,4
0.518033,0.099102,0,0.353808,0.344016,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.61157,0.556054,0.47907,0.143601,0.184659,0.955936,0.015152,0.05098,0.034483,0.477696,0.324212,0.135632,0.149573,0.590674,0.176685,4
0.163934,0.247446,0.3522,0.44171,0.25451,0.011494,0,0.459459,0.558824,0,0,1,0.619835,0.556054,0.47907,0.292469,0.09375,0.556916,0.830808,0.078431,0.241379,0.106107,0.324212,0.135632,0.213675,0.590674,0.147055,4
0.321311,0.143418,0.918595,0.341349,0.276584,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.619835,0.533632,0.47907,0.240383,0.244318,0.947368,0.020202,0.066667,0.103448,0.31832,0.324212,0.135632,0.123932,0.590674,0.127848,4
0.013115,0.15157,0.310659,0.483407,0.444304,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.347107,0.452915,0.47907,0.353795,0.261364,0.730722,0.080808,0.529412,0.724138,0.01689,0.324212,0.135632,0.200855,0.590674,0.216183,4
0.068852,0.224328,0.205262,0.448115,0.278114,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.429752,0.524664,0.47907,0.302507,0.28125,0.893513,0.108586,0.113725,0.137931,0.089216,0.324212,0.135632,0.08547,0.590674,0.142839,4
0.239344,0.616397,0,0.366772,0.118874,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.710744,0.672646,0.47907,0.105391,0.198864,0.619339,0.737374,0.039216,0.034483,0.165006,0.324212,0.135632,0.051282,0.590674,0,4
0.288525,0.324108,0,0.289279,0.229185,0,0.114286,0.486486,0.529412,0.125,0.266667,1,0.669421,0.699552,0.47907,0.260008,0.321023,0.722154,0.037879,0.74902,0.344828,0.22434,0.324212,0.135632,0.059829,0.590674,0,4
0,0.269319,0.080232,0.31305,0.502478,0.505747,0.885714,0.135135,0.338235,0.625,0.788889,0,0.322314,0.134529,0.767442,0.727456,0.247159,0.913097,0.037879,0.141176,0.551724,0,0.311402,0.650575,0.897436,0.751295,0.29033,8
0,0.20149,0,0.449594,0.491274,0.505747,0.885714,0.135135,0.338235,0.625,0.788889,0,0.31405,0.246637,0.767442,0.834683,0.357955,0.860465,0.113636,0.160784,0.724138,0,0.311402,0.650575,0.803419,0.751295,0.35923,8
0,0.192248,0.259232,0.325115,0.308311,0.091954,0.428571,0.135135,0,0.375,0.433333,0,0.454545,0.497758,0.767442,0.524395,0.380682,0.851897,0.045455,0.321569,0.37931,0,0.311402,0.650575,0.880342,0.751295,0.324713,8
0,0.287093,0.245179,0.531465,0.580734,1,0.628571,0.135135,1,0,0.7,0,0.628099,0.520179,0.581395,0.429584,0.735795,0.738066,0.330808,0.262745,0.310345,0,0.46617,0.942529,0.24359,0.507772,0.329859,8
0.318033,0.184401,0,0.356602,0.177811,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.710744,0.596413,0.544186,0.440359,0.255682,0.790698,0.348485,0.090196,0.103448,0.243395,0.428725,0.82069,0.346154,0.404145,0.164382,8
0.042623,0.216852,0.277789,0.541938,0.418205,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.586777,0.367713,0.544186,0.398402,0.377841,0.767442,0.287879,0.141176,0.655172,0.07016,0.428725,0.82069,0.598291,0.404145,0.141761,8
0.003279,0.203538,0,0.339109,0.172712,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.636364,0.70852,0.544186,0.330665,0.298295,0.686659,0.532828,0.113725,0.241379,0.009961,0.428725,0.82069,0.25641,0.404145,0.072576,8
0,0.178913,0.254654,0.442917,0.346742,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.619835,0.349776,0.544186,0.45586,0.5,0.753978,0.244949,0.278431,0.689655,0.000433,0.428725,0.82069,0.641026,0.404145,0.192962,8
0,0.242571,0.129834,0.477635,0.3646,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.471074,0.219731,0.544186,0.48778,0.255682,0.364749,0.613636,0.937255,1,0,0.428725,0.82069,0.282051,0.404145,0.240932,8
0.386885,0.17468,0,0.363787,0.303187,0.206897,0,0.540541,0.720588,0.125,0.177778,0.5,0.661157,0.560538,0.544186,0.217177,0.443182,0.725826,0.396465,0.172549,0.206897,0.273278,0.428725,0.82069,0.076923,0.404145,0,8
0.003279,0.172666,0.192336,0.321624,0.292453,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.652893,0.358744,0.544186,0.409282,0.428977,0.840881,0.143939,0.215686,0.448276,0.00563,0.428725,0.82069,0.303419,0.404145,0.214151,8
0,0.160383,0.108132,0.291318,0.28,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.727273,0.506726,0.544186,0.290362,0.630682,0.884945,0.080808,0.168627,0.413793,0,0.428725,0.82069,0.320513,0.404145,0.165545,8
0,0.187681,0.248712,0.431298,0.242131,0.413793,0.428571,0.378378,0.441176,0.25,0.711111,0.5,0.578512,0.457399,0.544186,0.630192,0.196023,0.742962,0.244949,0.278431,0.931034,0.000866,0.428725,0.82069,0.354701,0.404145,0.242305,8
0.013115,0.237238,0.192954,0.392118,0.53014,0.252874,0,0.135135,0.205882,0.125,0.277778,0.5,0.429752,0.174888,0.544186,0.635038,0.204545,0.611995,0.131313,0.996078,0.344828,0.01256,0.428725,0.82069,0.277778,0.404145,0.23498,8
